JSON File,Asset,Total Count
filter_const-address.json,ghast,0.404923419
filter_const-address.json,wrapped-memory,9.01E-08
filter_const-address.json,arbinyan,4527.301238
filter_const-address.json,d2-token,21.12328002
filter_const-address.json,zenpandacoin,112715001.7
filter_const-address.json,o3-swap,21.08813772
filter_const-address.json,asgardx,0.213646569
filter_const-address.json,wall-street-games-2,55.74078877
filter_const-address.json,white-lotus,0.047852044
filter_const-address.json,xtoken,2.859048685
filter_const-address.json,olympus,11.31405356
filter_const-address.json,kenshi-2,2086.060349
filter_const-address.json,adv3nture-xyz-gold,8.621584275
filter_const-address.json,collab-land,2285.337722
filter_const-address.json,lodestar,399.9532768
filter_const-address.json,arbshib,2.74E+11
filter_const-address.json,savvy-usd,0.540066223
filter_const-address.json,plutus-dpx,0.787608041
filter_const-address.json,genius-x,3.00E-05
filter_const-address.json,aave-v3-aave,3.75E-05
filter_const-address.json,seneca-usd,0.123266682
filter_const-address.json,orbs,5.11E-05
filter_const-address.json,standard-token,258.7757443
filter_const-address.json,savvy-eth,6.19E-05
filter_const-address.json,flux,0.00015165
filter_const-address.json,nola,24137.78902
filter_const-address.json,chainlink,22.21360094
filter_const-address.json,boner,7734.580942
filter_const-address.json,mayfair,19.26071715
filter_const-address.json,aishiba,286002745.7
filter_const-address.json,ageur,60.84605616
filter_const-address.json,uniswap,0.295302965
filter_const-address.json,bumper,10.82948849
filter_const-address.json,liquity,3.506060072
filter_const-address.json,kunji-finance,3.305324207
filter_const-address.json,rb-finance,4.448384218
filter_const-address.json,gmx,10.34433155
filter_const-address.json,arbitrum-bridged-usdt-arbitrum,9441.894449
filter_const-address.json,magic-internet-money,14.85711362
filter_const-address.json,usd-coin-ethereum-bridged,30338.34878
filter_const-address.json,ethereum,2.345641566
filter_const-address.json,iron-bank,2.49E-06
filter_const-address.json,dope-wars-paper,32.70184955
filter_const-address.json,let-s-get-hai,0.513292151
filter_const-address.json,cyberconnect,6.817503965
filter_const-address.json,magicaltux,21666.66111
filter_const-address.json,dextoro,1.00414921
filter_const-address.json,sonne-finance,125.5359355
filter_const-address.json,exa,2.09E-15
filter_const-address.json,bankless-dao,0.001200583
filter_const-address.json,extra-finance,47.82174627
filter_const-address.json,pooltogether,0.198791274
filter_const-address.json,overnight-finance,1.51E-07
filter_const-address.json,alchemix-eth,0.000163952
filter_const-address.json,barnbridge,0.029339322
filter_const-address.json,lernitas,20502.96188
filter_const-address.json,qi-dao,0.090412076
filter_const-address.json,optimism,1080.799412
filter_const-address.json,mummy-finance,0.22736127
filter_const-address.json,nbl,1234.486206
filter_const-address.json,aelin,2.92E-08
filter_const-address.json,aave-v3-usdc,8.059255
filter_const-address.json,ethereans,0.61259873
filter_const-address.json,aave-v3-susd,0.006233667
filter_const-address.json,fbomb,753.7988266
filter_const-address.json,aave,0.924036494
filter_const-address.json,bridged-usd-coin-optimism,10081.03229
filter_const-address.json,rai,3.61E-07
filter_const-address.json,equalizer,0.367725578
filter_const-address.json,havven,91.87394594
filter_const-address.json,nusd,917.2763482
filter_const-address.json,kwenta,0.120696594
filter_const-address.json,meta,0.000103432
filter_const-address.json,bridged-usdt,2113.564085
filter_const-address.json,velodrome-finance,201.4987787
filter_const-address.json,pika-protocol,106.5277519
filter_const-address.json,celo-wormhole,0.00221336
filter_const-address.json,binance-peg-busd,619.1288189
filter_const-address.json,perpetual-protocol,83.7820995
filter_const-address.json,dhedge-dao,9.78921627
filter_const-address.json,onering,1.343419912
filter_const-address.json,bob,1.925811659
filter_const-address.json,beethoven-x,2.55E-11
filter_const-address.json,zoomer,877.8483507
filter_const-address.json,wrapped-optidoge,2.58E-09
filter_const-address.json,openxswap,30.30246237
filter_const-address.json,staked-bifi,0.001088698
filter_const-address.json,alchemix-usd,0.119828928
filter_const-address.json,opx-finance,19.62437236
filter_const-address.json,paraswap,693.1280029
filter_const-address.json,worldcoin-wld,12.31947313
filter_const-address.json,mai-optimism,28.48264896
filter_const-address.json,seth,0.00608922
filter_const-address.json,minerva-money,6.19E-16
filter_const-address.json,matic-network,371.2333685
filter_const-address.json,binance-bridged-usdc-bnb-smart-chain,0.9858832
filter_const-address.json,bridged-usdc-polygon-pos-bridge,11.009886
filter_const-address.json,binance-peg-cardano,4.576414635
filter_const-address.json,binance-bridged-usdt-bnb-smart-chain,3607.30516
filter_const-address.json,catecoin,143606212.6
filter_const-address.json,layer-network,638357.1121
filter_const-address.json,baby-shiba-inu,612519996.6
filter_const-address.json,freedom-coin,1021
filter_const-address.json,avalanche-2,309.5097069
filter_const-address.json,dogira,691
filter_const-address.json,anyswap,4
filter_const-address.json,marvin-inu,3429071881
filter_const-address.json,lunagens,285315.5476
filter_const-address.json,radio-caca,101208.9516
filter_const-address.json,baby-doge-coin,19098836316
filter_const-address.json,darwinia-network-native-token,2964.48
filter_const-address.json,bonfire,624020991.6
filter_const-address.json,shieldtokencoin,0.9
filter_const-address.json,aiearn,0.400999985
filter_const-address.json,popcoin,0.400999985
filter_const-address.json,t23,0.400999985
filter_const-address.json,aave-usdc,0.040446
filter_const-address.json,ai-trader,100000
filter_const-address.json,eng-crypto,51
filter_const-address.json,legend-of-fantasy-war,8.596399886
filter_const-address.json,pump-it-up,17.84827866
filter_const-address.json,mind-matrix,17.84827866
filter_const-address.json,aiswap,17.84827866
filter_const-address.json,codai,17.84827866
filter_const-address.json,polygon-bridged-usdt-polygon,979.881387
filter_const-address.json,pancakeswap-token,1.67E-09
filter_const-address.json,linear,5.37E-08
filter_const-address.json,alpaca-finance,4.07E-09
filter_const-address.json,mdex-bsc,5.09E-09
filter_const-address.json,tokocrypto,7.53E-10
filter_const-address.json,auto,3.29E-12
filter_const-address.json,alpha-finance,3.65E-09
filter_const-address.json,ellipsis,6.60E-09
filter_const-address.json,yes-world,63
filter_const-address.json,venus,5.00E-10
filter_const-address.json,bakerytoken,1.46E-09
filter_const-address.json,bitlocus,624.820389
filter_const-address.json,pegaxy-stone,1
filter_const-address.json,vigorus,1412.351901
filter_const-address.json,floki-inu,1385378.138
filter_const-address.json,vbswap,1.00E-12
filter_const-address.json,loser-coin,500
filter_const-address.json,xen-crypto-bsc,1000000
filter_const-address.json,wrapped-avax,0.037060962
filter_const-address.json,tether-avalanche-bridged-usdt-e,0.900092
filter_const-address.json,rare-fnd,19.97585437
filter_const-address.json,bsc-station,500
filter_const-address.json,the-sandbox,0.053318635
filter_const-address.json,shih-tzu,8.75E+14
filter_const-address.json,neuy,100
filter_const-address.json,curve-fi-usdc-usdt,5689.44725
filter_const-address.json,shiba-inu,364050
filter_constant-chainID.json,matic-network,870.9826898
filter_constant-chainID.json,binance-coin,10.07338861
filter_constant-chainID.json,ethereum,0.18099396
filter_constant-chainID.json,bridge-oracle,1.706700706
filter_constant-chainID.json,shambala,1014471.584
filter_constant-chainID.json,adadao,0.0001
filter_constant-chainID.json,multivac,300
filter_constant-chainID.json,rimaunangis,1.5
filter_constant-chainID.json,juggernaut,0.1
filter_constant-chainID.json,weth,2.453595239
filter_constant-chainID.json,angry-birds,0.443422
filter_constant-chainID.json,lumishare,2
filter_constant-chainID.json,sushi,0.249165374
filter_constant-chainID.json,aavegotchi,0.2870786
filter_constant-chainID.json,frax,0.302658038
filter_constant-chainID.json,qi-dao,3.557775992
filter_constant-chainID.json,pigcoin-2,519.47
filter_constant-chainID.json,freedom-coin,8716
filter_constant-chainID.json,cipher-2,100
filter_constant-chainID.json,avalanche-2,5.424276603
filter_constant-chainID.json,elvishmagic,1
filter_constant-chainID.json,woonkly-power,8
filter_constant-chainID.json,outer-ring,300000
filter_constant-chainID.json,binance-bridged-usdt-bnb-smart-chain,537.2208836
filter_constant-chainID.json,1inch,7.43
filter_constant-chainID.json,bot-planet,9.996
filter_constant-chainID.json,binance-peg-avalanche,0.00877732
filter_constant-chainID.json,shiba-inu,93968.31234
filter_constant-chainID.json,binance-peg-litecoin,0.03889185
filter_constant-chainID.json,dodo,7.88
filter_constant-chainID.json,binance-peg-bitcoin-cash,0.001
filter_constant-chainID.json,luckybird,0.28
filter_constant-chainID.json,zilliqa,9.89074218
filter_constant-chainID.json,uniswap,0.2
filter_constant-chainID.json,binance-peg-busd,4.599037176
filter_constant-chainID.json,bitlocus,344.032602
filter_constant-chainID.json,aave-usdc,500.013842
filter_constant-chainID.json,medieus,0.25
filter_constant-chainID.json,shibaken-finance,2.38E+12
filter_constant-chainID.json,baby-shiba-inu,76579846.52
filter_constant-chainID.json,swtcoin,40078.1
filter_constant-chainID.json,binance-bridged-usdc-bnb-smart-chain,233.67794
filter_constant-chainID.json,liquidus,1.89026606
filter_constant-chainID.json,wall-street-games,500000
filter_constant-chainID.json,usd-coin,3
filter_constant-chainID.json,space-token-bsc,18.30865017
filter_constant-chainID.json,spacey-2025,0.65
filter_constant-chainID.json,vbswap,1.00E-12
filter_constant-chainID.json,voxies,0.000160134
filter_constant-chainID.json,polka-city,17640
filter_constBlocknumber.json,binance-coin,0.165644031
filter_constBlocknumber.json,matic-network,0.21
filter_constBlocknumber.json,avalanche-2,0.42
filter_operateBlocknumber.json,zoo-token,1501252953
filter_operateBlocknumber.json,ethereum,0.703083239
filter_operateBlocknumber.json,nftblackmarket,769.2854658
filter_operateBlocknumber.json,binance-coin,29.26634986
filter_operateBlocknumber.json,matic-network,2200.7128
filter_operateBlocknumber.json,darkshield,443368.88
filter_operateBlocknumber.json,binance-bridged-usdt-bnb-smart-chain,2268.717331
filter_operateBlocknumber.json,binance-bridged-usdc-bnb-smart-chain,1.486406221
filter_operateBlocknumber.json,polygon-bridged-usdt-polygon,147.32693
filter_operateBlocknumber.json,avalanche-2,3.077248469
filter_operateBlocknumber.json,skyplay,100
filter_operateBlocknumber.json,arbitrum-bridged-usdt-arbitrum,23.190015
filter_operateBlocknumber.json,clucoin,1352040487
filter_operateBlocknumber.json,white-rhinoceros,1000
filter_operateBlocknumber.json,kiba-inu,125525018
filter_operateBlocknumber.json,dmail-network,8.1926
filter_operateBlocknumber.json,binance-peg-busd,1380.383668
filter_operateBlocknumber.json,nfty-token,770.0547494
filter_operateBlocknumber.json,ix-token,4779.753061
filter_operateBlocknumber.json,bonfire,624019611.8
filter_operateBlocknumber.json,pancakeswap-token,0.007450735
filter_operateBlocknumber.json,pacoca,1
filter_operateBlocknumber.json,liquidus,60736.1397
filter_operateBlocknumber.json,weth,0.23715799
filter_operateBlocknumber.json,angry-birds,0.389624
filter_operateBlocknumber.json,medieus,0.25
filter_operateBlocknumber.json,dinoswap,93.907
filter_operateBlocknumber.json,swtcoin,20000
filter_operateBlocknumber.json,biswap,0.5
filter_operateBlocknumber.json,aavegotchi,0.135796076
filter_operateBlocknumber.json,chainlink,0.017692066
filter_operateBlocknumber.json,stader-maticx,0.253237542
filter_operateBlocknumber.json,bitrise-token,43366400
filter_operateBlocknumber.json,spacey-2025,0.65
filter_operateBlocknumber.json,vbswap,1.00E-12
filter_operateBlocknumber.json,ethermon,53766.25406
filter_operateBlocknumber.json,swingby,500000
filter_operateBlocknumber.json,moonpot-finance,100000
filter_operateBlocknumber.json,army-of-fortune-metaverse,500
filter_operateBlocknumber.json,arbitrum,499.481
filter_operateBlocknumber.json,optimism,800.47863
filter_operateBlocknumber.json,magic-internet-money,1000
filter_operateBlocknumber.json,upfire,0.0012
filter_operateBlocknumber.json,cookies-protocol,100
filter_operateBlocknumber.json,water-2,10
filter_operateBlocknumber.json,voxies,0.001146864
filter_operateBlocknumber.json,omniaverse,404
filter_operateBlocknumber.json,yooshi,91009753.67
filter_operateBlocknumber.json,freedom-coin,7505012.114
filter_operateBlocknumber.json,multivac,100
filter_operateBlocknumber.json,wall-street-games,500000
filter_operateBlocknumber.json,core,1000
filter_operateBlocknumber.json,anyswap,1
filter_operateBlocknumber.json,megaweapon,99.2911766
filter_operateBlocknumber.json,doggy,20293.8
filter_operateBlocknumber.json,mother-of-memes,500000000
filter_reentrancy.json,binance-coin,108.9760723
filter_reentrancy.json,matic-network,18691.28444
filter_reentrancy.json,wbnb,0.0035
filter_reentrancy.json,vbswap,8.00E-12
filter_reentrancy.json,weth,1.860042349
filter_reentrancy.json,mobox,6.908792576
filter_reentrancy.json,dpex,200
filter_reentrancy.json,sheesha-finance-polygon,100
filter_reentrancy.json,polydoge,2222
filter_reentrancy.json,inftspace,500000
filter_reentrancy.json,avalanche-2,29.73295075
filter_reentrancy.json,bridged-usdc-polygon-pos-bridge,10.99
filter_reentrancy.json,binance-peg-cardano,7.926651138
filter_reentrancy.json,binance-bridged-usdt-bnb-smart-chain,16018.01795
filter_reentrancy.json,catecoin,143610762.7
filter_reentrancy.json,binance-peg-busd,1717.714796
filter_reentrancy.json,ai-trader,200000
filter_reentrancy.json,baby-shiba-inu,9186936019
filter_reentrancy.json,multivac,500
filter_reentrancy.json,usd-coin-ethereum-bridged,2515
filter_reentrancy.json,yooshi,109113970.7
filter_reentrancy.json,freedom-coin,7506703.114
filter_reentrancy.json,ethereum,0.437856538
filter_reentrancy.json,skyplay,100
filter_reentrancy.json,coinscope,2
filter_reentrancy.json,angry-birds,0.476181
filter_reentrancy.json,lumishare,2
filter_reentrancy.json,1inch,7.43
filter_reentrancy.json,bot-planet,9.996
filter_reentrancy.json,binance-peg-avalanche,0.00877732
filter_reentrancy.json,shiba-inu,469755.2073
filter_reentrancy.json,binance-peg-litecoin,0.03889185
filter_reentrancy.json,dodo,7.880000002
filter_reentrancy.json,bridge-oracle,1.4341683
filter_reentrancy.json,binance-peg-bitcoin-cash,0.001
filter_reentrancy.json,luckybird,0.17
filter_reentrancy.json,zilliqa,9.89074218
filter_reentrancy.json,uniswap,2.303528906
filter_reentrancy.json,medieus,0.75
filter_reentrancy.json,pigcoin-2,165.52
filter_reentrancy.json,arable-protocol,40.03548219
filter_reentrancy.json,elonxaidogemessi69pepeinu,696969.697
filter_reentrancy.json,pepe-ai,12345.54321
filter_reentrancy.json,swtcoin,20000
filter_reentrancy.json,ruby-play-network,600
filter_reentrancy.json,geodnet,1.00E-08
filter_reentrancy.json,yes-world,63.1448096
filter_reentrancy.json,eng-crypto,51
filter_reentrancy.json,legend-of-fantasy-war,8.596399886
filter_reentrancy.json,water-2,10
filter_reentrancy.json,radio-caca,109042.1566
filter_reentrancy.json,pancakeswap-token,2.734434916
filter_reentrancy.json,linear,5.37E-08
filter_reentrancy.json,alpaca-finance,4.07E-09
filter_reentrancy.json,mdex-bsc,5.09E-09
filter_reentrancy.json,tokocrypto,0.710000001
filter_reentrancy.json,auto,3.29E-12
filter_reentrancy.json,alpha-finance,3.65E-09
filter_reentrancy.json,ellipsis,6.60E-09
filter_reentrancy.json,venus,5.00E-10
filter_reentrancy.json,bakerytoken,1.46E-09
filter_reentrancy.json,leopard,74803073076
filter_reentrancy.json,bitrise-token,43366400
filter_reentrancy.json,cloutcontracts,10
filter_reentrancy.json,optimism,3.638771253
filter_reentrancy.json,x-akamaru-inu,48.23257695
filter_reentrancy.json,hudi,1.00E-18
filter_reentrancy.json,floki-inu,1385378.138
filter_reentrancy.json,shambala,101524802.1
filter_reentrancy.json,pump-it-up,36.1601943
filter_reentrancy.json,mind-matrix,36.1601943
filter_reentrancy.json,aiswap,36.1601943
filter_reentrancy.json,codai,36.1601943
filter_reentrancy.json,wall-street-games,1500000
filter_reentrancy.json,quick,0.00010005
filter_reentrancy.json,binance-peg-polkadot,0.035
filter_reentrancy.json,binance-bridged-usdc-bnb-smart-chain,1.35
filter_reentrancy.json,sheesha-finance,0.00089895
filter_reentrancy.json,rare-fnd,19.97585437
filter_reentrancy.json,arbitrum-bridged-usdt-arbitrum,1000
filter_reentrancy.json,floki-rocket,680456.1834
filter_reentrancy.json,poken,424.8206998
filter_reentrancy.json,wagyuswap,4.701018849
filter_reentrancy.json,american-shiba,120217730.3
filter_reentrancy.json,baby-doge-coin,2.99E+11
filter_reentrancy.json,anyswap,2
filter_reentrancy.json,bsc-station,500
filter_reentrancy.json,shih-tzu,8.75E+14
filter_reentrancy.json,ariva,50000
filter_reentrancy.json,core,1000
filter_reentrancy.json,neuy,100
filter_reentrancy.json,realfinance-network,100
filter_reentrancy.json,feg-token-bsc,30971083058
filter_reentrancy.json,wifedoge,2.43E+12
filter_reentrancy.json,ethereum-meta,4109352913
filter_reentrancy.json,binance-peg-xrp,234.9868857
filter_reentrancy.json,binance-bitcoin,7.16E-05
filter_reentrancy.json,zignaly,33
filter_reentrancy.json,bnbtiger,1000000
filter_reentrancy.json,milo-inu,702107998
filter_reentrancy.json,vita-inu,453034481
filter_reentrancy.json,doggy,861.10084
